"Kecamatan","Penduduk (ribu)","Laju Pertumbuhan Penduduk per Tahun 2020-2021","Persentase Penduduk","Kepadatan Penduduk per km2","Rasio Jenis Kelamin Penduduk"
"Buahdua","32977","43","2,83","306,25","-"
"Cibugel","24753","107","2,13","415,88","-"
"Cimalaka","62356","348","5,36","1440,43","-"
"Cimanggung","87406","607","7,51","1573,47","-"
"Cisarua","21010","150","1,80","1186,34","-"
"Cisitu","30565","84","2,63","470,01","-"
"Conggeang","29039","111","2,49","271,44","-"
"Darmaraja","36960","-18","3,17","748,48","-"
"Ganeas","25966","51","2,23","1133,89","-"
"Jatigede","22432","24","1,93","211,14","-"
"Jatinangor","91215","354","7,84","2886,55","-"
"Jatinunggal","45749","-144","3,93","634,35","-"
"Jumlah total","1164116","-","0","-","-"
"Pamulihan","62377","532","5,36","1230,32","-"
"Paseh","38211","70","3,28","1208,44","-"
"Rancakalong","41011","223","3,52","744,71","-"
"Situraja","42222","127","3,63","976,68","-"
"Sukasari","33502","315","2,88","801,10","-"
"Sumedang Selatan","80760","170","6,94","872,99","-"
"Sumedang Utara","99246","610","8,53","3264,67","-"
"Surian","11665","42","1,00","164,57","-"
"Tanjungkerta","34545","21","2,97","790,14","-"
"Tanjungmedar","26357","85","2,26","434,43","-"
"Tanjungsari","84807","679","7,29","1890,48","-"
"Tomo","23410","-55","2,01","276,26","-"
"Ujungjaya","31343","-42","2,69","363,48","-"
"Wado","44232","168","3,80","524,88","-"