"Kecamatan Subdistrict","Wisatawan Mancanegara/ Foreign Tourist","Wisatawan Nusantara/ Domestic Tourist","Jumlah / Total"
"[010] Jatinangor","0","0","0"
"[020] Cimanggung","0","11048","11048"
"[030] Tanjungsari","0","29541","29541"
"[031] Sukasari","0","1140","1140"
"[032] Pamulihan","0","17147","17147"
"[040] Rancakalong","0","0","0"
"[050] Sumedang Selatan","0","30859","30859"
"[060] Sumedang Utara","0","781","781"
"[061] Ganeas","0","7177","7177"
"[070] Situraja","0","7897","7897"
"[071] Cisitu","0","46750","46750"
"[080] Darmaraja","0","39637","39637"
"[090] Cibugel","0","15778","15778"
"[100] Wado","0","0","0"
"[101] Jatinunggal","0","0","0"
"[111] Jatigede","0","88675","88675"
"[120] Tomo","0","9597","9597"
"[130] Ujungjaya","0","0","0"
"[140] Conggeang","0","6550","6550"
"[150] Paseh","0","3521","3521"
"[160] Cimalaka","0","19509","19509"
"[161] Cisarua","0","0","0"
"[170] Tanjungkerta","0","11107","11107"
"[171] Tanjungmedar","0","6013","6013"
"[180] Buahdua","0","25112","25112"
"[181] Surian","0","0","0"
"Kabupaten Sumedang Sumedang Regency","0","448629","448629"